0.000: Updated main state from mn_state.init_st to mn_state.wait_arm_st
0.000: Updated sensor control state from sn_state.init_st to sn_state.wait_enable_st
0.000: Selected reference trajectory: refData1.txt in controller.
0.000: Updated motor control state from mt_state.init_st to mt_state.wait_enable_st
0.000: Updated main state from mn_state.wait_arm_st to mn_state.arm_st
0.000: Updated sensor control state from sn_state.wait_enable_st to sn_state.pull_data_st
0.090: Sensor Data: t: 0.09, h: 0.015, V: 0.006, a: 0.006, theta: 0.066
0.190: Sensor Data: t: 0.19, h: 0.098, V: 0.026, a: 0.032, theta: 0.028
0.290: Sensor Data: t: 0.29, h: 0.097, V: 0.066, a: 0.074, theta: 0.018
0.390: Sensor Data: t: 0.39, h: 0.011, V: 0.037, a: 0.058, theta: 0.018
0.490: Sensor Data: t: 0.49, h: 0.014, V: 0.083, a: 0.017, theta: 0.052
0.524: Updated main state from mn_state.arm_st to mn_state.wait_cutoff_st
0.604: Sensor Data: t: 0.604148, h: 0.66, V: 11.1586, a: 95.0444, theta: 0.0
0.709: Sensor Data: t: 0.709131, h: 2.36, V: 21.0974, a: 94.4629, theta: 0.0
0.813: Sensor Data: t: 0.81286, h: 5.06, V: 30.8849, a: 94.2659, theta: 0.0
0.916: Sensor Data: t: 0.916263, h: 8.76, V: 40.6238, a: 94.1037, theta: 0.0
1.018: Sensor Data: t: 1.01836, h: 13.4, V: 50.2232, a: 93.9316, theta: 0.0
1.120: Sensor Data: t: 1.12015, h: 19.0, V: 59.7743, a: 93.7365, theta: 0.0
1.222: Sensor Data: t: 1.22178, h: 25.56, V: 69.2896, a: 93.5146, theta: 0.0
1.323: Sensor Data: t: 1.32308, h: 33.06, V: 78.7506, a: 93.265, theta: 0.0
1.424: Sensor Data: t: 1.42419, h: 41.5, V: 88.1669, a: 92.9872, theta: 0.0
1.525: Sensor Data: t: 1.5254, h: 50.9, V: 97.5627, a: 92.6805, theta: 0.0
1.626: Sensor Data: t: 1.62634, h: 61.22, V: 106.901, a: 92.3465, theta: 0.0
1.727: Sensor Data: t: 1.72727, h: 72.48, V: 116.203, a: 91.9848, theta: 0.0
1.828: Sensor Data: t: 1.82822, h: 84.68, V: 125.47, a: 91.596, theta: 0.0
1.929: Sensor Data: t: 1.92893, h: 97.78, V: 134.674, a: 91.1818, theta: 0.0
2.030: Sensor Data: t: 2.0296, h: 111.8, V: 143.831, a: 90.7422, theta: 0.0
2.130: Sensor Data: t: 2.13027, h: 126.74, V: 152.943, a: 90.2778, theta: 0.0
2.231: Sensor Data: t: 2.23086, h: 142.58, V: 162.0, a: 89.79, theta: 0.0
2.332: Sensor Data: t: 2.33151, h: 159.34, V: 171.011, a: 89.2788, theta: 0.0
2.432: Sensor Data: t: 2.43203, h: 176.98, V: 179.959, a: 88.7462, theta: 0.0
2.533: Sensor Data: t: 2.53256, h: 195.52, V: 188.853, a: 88.1924, theta: 0.0
2.633: Sensor Data: t: 2.63304, h: 214.94, V: 197.686, a: 87.6188, theta: 0.0
2.734: Sensor Data: t: 2.73359, h: 235.26, V: 206.466, a: 87.0256, theta: 0.0
2.834: Sensor Data: t: 2.83405, h: 256.44, V: 215.178, a: 86.4148, theta: 0.0
2.934: Sensor Data: t: 2.93445, h: 278.48, V: 223.823, a: 85.7872, theta: 0.0
3.035: Sensor Data: t: 3.03484, h: 301.38, V: 232.403, a: 85.1437, theta: 0.0
3.135: Sensor Data: t: 3.13523, h: 325.14, V: 240.918, a: 84.4851, theta: 0.0
3.236: Sensor Data: t: 3.23566, h: 349.76, V: 249.369, a: 83.8124, theta: 0.0
3.336: Sensor Data: t: 3.33599, h: 375.2, V: 257.743, a: 83.1274, theta: 0.0
3.436: Sensor Data: t: 3.43633, h: 401.48, V: 266.049, a: 82.4306, theta: 0.0
3.520: Updated main state from mn_state.wait_cutoff_st to mn_state.wait_apogee_st
3.530: Sensor Data: t: 3.53005, h: 430.61, V: 264.196, a: -26.7046, theta: 0.1
3.530: Updated motor control state from mt_state.wait_enable_st to mt_state.check_diff_st
3.550: Updated motor control state from mt_state.check_diff_st to mt_state.move_motor_st
3.631: Sensor Data: t: 3.63086, h: 457.11, V: 261.524, a: -26.3115, theta: 0.1
3.732: Sensor Data: t: 3.73194, h: 483.41, V: 258.884, a: -25.9284, theta: 0.1
3.833: Sensor Data: t: 3.83288, h: 509.41, V: 256.285, a: -25.5564, theta: 0.1
3.934: Sensor Data: t: 3.93386, h: 535.16, V: 253.723, a: -25.1946, theta: 0.1
4.035: Sensor Data: t: 4.03487, h: 560.66, V: 251.196, a: -24.8425, theta: 0.1
4.136: Sensor Data: t: 4.13589, h: 585.91, V: 248.704, a: -24.5, theta: 0.1
4.237: Sensor Data: t: 4.23691, h: 610.91, V: 246.246, a: -24.1666, theta: 0.1
4.338: Sensor Data: t: 4.33792, h: 635.66, V: 243.821, a: -23.8422, theta: 0.1
4.439: Sensor Data: t: 4.4389, h: 660.16, V: 241.43, a: -23.5264, theta: 0.1
4.540: Sensor Data: t: 4.54005, h: 684.46, V: 239.066, a: -23.2184, theta: 0.1
4.641: Sensor Data: t: 4.64094, h: 708.46, V: 236.738, a: -22.9193, theta: 0.1
4.742: Sensor Data: t: 4.74217, h: 732.31, V: 234.433, a: -22.6268, theta: 0.1
4.843: Sensor Data: t: 4.8429, h: 755.81, V: 232.168, a: -22.3432, theta: 0.1
4.945: Sensor Data: t: 4.94462, h: 779.31, V: 229.91, a: -22.0642, theta: 0.1
5.045: Sensor Data: t: 5.04514, h: 802.31, V: 227.705, a: -21.7954, theta: 0.1
5.147: Sensor Data: t: 5.14664, h: 825.31, V: 225.507, a: -21.5307, theta: 0.1
5.247: Sensor Data: t: 5.24735, h: 847.91, V: 223.351, a: -21.2747, theta: 0.1
5.349: Sensor Data: t: 5.34857, h: 870.41, V: 221.211, a: -21.0237, theta: 0.1
