Simulation created and run on: 
Mon Feb 27 13:59:18 2023


Time (s), Height (m), Velocity (m/s), Acceleration (m/s^2), Deployment Angle (degrees)
0, 742.914, 264.57, -9.80665, 0
0.100184, 769.314, 262.467, -20.8929, 1.39991
0.200214, 795.464, 260.386, -20.7021, 2.8003
0.300271, 821.414, 258.324, -20.5281, 4.20108
0.40035, 847.164, 256.277, -20.3699, 5.60216
0.500444, 872.714, 254.246, -20.2265, 7.00347
0.600549, 898.064, 252.228, -20.097, 8.40492
0.70066, 923.214, 250.222, -19.9805, 9.80645
0.800772, 948.164, 248.227, -19.8762, 11.208
0.900881, 972.914, 246.242, -19.7832, 12.6095
1.00098, 997.464, 244.266, -19.7008, 14.0109
1.10107, 1021.81, 242.297, -19.628, 15.4121
1.20115, 1045.96, 240.336, -19.5642, 16.8132
1.30121, 1069.91, 238.382, -19.5086, 18.214
1.40125, 1093.66, 236.433, -19.4604, 19.6145
1.50127, 1117.21, 234.488, -19.419, 21.0148
1.60148, 1140.61, 232.544, -19.3836, 22.4177
1.70166, 1163.81, 230.604, -19.3536, 23.8202
1.80182, 1186.81, 228.667, -19.3284, 25.2224
1.90195, 1209.61, 226.732, -19.3073, 26.6243
2.00206, 1232.21, 224.8, -19.2898, 28.0257
2.10213, 1254.61, 222.871, -19.2753, 29.4267
2.20218, 1276.81, 220.943, -19.2633, 30.8273
2.30219, 1298.81, 219.017, -19.2531, 32.2274
2.40239, 1320.66, 217.093, -19.1091, 32.6018
2.50256, 1342.31, 215.189, -18.9194, 32.5986
2.60268, 1363.76, 213.304, -18.7348, 32.6018
2.70274, 1385.01, 211.438, -18.5535, 32.5985
2.80298, 1406.11, 209.587, -18.3763, 32.5985
2.90313, 1427.01, 207.756, -18.203, 32.5985
3.00321, 1447.71, 205.942, -18.0337, 32.5985
3.10343, 1468.26, 204.143, -17.8681, 32.6019
3.20356, 1488.61, 202.363, -17.7054, 32.5985
3.30357, 1508.76, 200.6, -17.5471, 32.6019
3.40371, 1528.76, 198.851, -17.3915, 32.6019
3.50372, 1548.56, 197.119, -17.2394, 32.602
3.60384, 1568.21, 195.4, -17.09, 32.5984
3.70408, 1587.71, 193.695, -16.9438, 32.5984
3.80415, 1607.01, 192.006, -16.8009, 32.5984
3.90433, 1626.16, 190.33, -16.6612, 32.602
4.00433, 1645.11, 188.671, -16.5238, 32.5983
4.10441, 1663.91, 187.024, -16.3895, 32.5983
4.20457, 1682.56, 185.389, -16.2581, 32.6021
4.3048, 1701.06, 183.766, -16.1289, 32.6021
4.40483, 1719.36, 182.159, -16.0026, 32.6021
4.50491, 1737.51, 180.564, -15.8784, 32.5982
4.60503, 1755.51, 178.98, -15.757, 32.5982
4.70521, 1773.36, 177.408, -15.6382, 32.6022
4.80542, 1791.06, 175.846, -15.5214, 32.6022
4.90567, 1808.61, 174.296, -15.4065, 32.5982
5.00594, 1826.01, 172.757, -15.2941, 32.5982
5.10595, 1843.21, 171.233, -15.1843, 32.5981
5.20596, 1860.26, 169.72, -15.0768, 32.6022
5.30598, 1877.16, 168.217, -14.9711, 32.6023
5.406, 1893.91, 166.725, -14.8672, 32.5981
5.50601, 1910.51, 165.243, -14.7655, 32.5981
5.60632, 1927.01, 163.767, -14.6655, 32.598
5.7066, 1943.36, 162.301, -14.5677, 32.6023
5.80687, 1959.56, 160.845, -14.4715, 32.6024
5.90711, 1975.61, 159.4, -14.3768, 32.598
